date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day
2021-04-27T00:00:00.000,2041698,0.37,1198299,0.55,47310,0.16,22603,0.78,839788,0.89,4020,0.25,89028,0.29
2021-04-28T00:00:00.000,2135793,0.38,1227777,0.56,50011,0.17,24412,0.84,888723,0.94,4027,0.25,92150,0.3
2021-04-29T00:00:00.000,2028524,0.36,1166096,0.53,47785,0.17,22201,0.77,873037,0.93,3881,0.24,88705,0.29
2021-04-30T00:00:00.000,2159476,0.39,1185321,0.54,57364,0.2,22322,0.77,922720,0.98,3699,0.23,93530,0.3
2021-05-01T00:00:00.000,1515211,0.47,818655,0.59,41395,0.27,13263,0.77,849633,0.89,,,51067,0.43
2021-05-02T00:00:00.000,1153471,0.48,620063,0.64,32683,0.31,11541,0.68,809865,0.95,,,41827,0.43
2021-05-03T00:00:00.000,1971010,0.34,1165505,0.51,45800,0.16,21492,0.73,828506,0.86,3744,0.22,91084,0.29
2021-05-04T00:00:00.000,2120071,0.37,1227250,0.54,49415,0.17,22962,0.78,851039,0.88,4181,0.24,93107,0.29
2021-05-05T00:00:00.000,2074543,0.36,1158445,0.51,48351,0.17,23236,0.79,841968,0.87,3851,0.22,91994,0.29
2021-05-06T00:00:00.000,2199943,0.38,1258536,0.55,52748,0.18,23792,0.81,905604,0.94,4168,0.24,94244,0.3
2021-05-07T00:00:00.000,2238033,0.39,1222741,0.54,61477,0.21,22730,0.77,936747,0.97,3827,0.22,101637,0.32
2021-05-08T00:00:00.000,1444674,0.45,779188,0.56,42664,0.28,13339,0.77,854156,0.89,,,56309,0.48
2021-05-09T00:00:00.000,1107878,0.46,576000,0.6,37795,0.36,13897,0.82,854809,1,856,0.24,54074,0.55
2021-05-10T00:00:00.000,1990039,0.35,1149109,0.51,50090,0.17,20751,0.71,844563,0.88,3850,0.22,96813,0.3
2021-05-11T00:00:00.000,2148322,0.38,1231886,0.54,51588,0.18,22751,0.77,873176,0.91,4227,0.24,97358,0.3
2021-05-12T00:00:00.000,2182277,0.38,1238990,0.54,53548,0.19,23946,0.81,887381,0.92,4193,0.24,98930,0.31
2021-05-13T00:00:00.000,2163052,0.38,1182347,0.52,55558,0.19,23439,0.8,918259,0.95,4112,0.24,103047,0.32
2021-05-14T00:00:00.000,2266974,0.4,1220112,0.54,63394,0.22,22437,0.76,947064,0.98,3963,0.23,104885,0.33
2021-05-15T00:00:00.000,1637231,0.51,844096,0.6,49401,0.33,13516,0.78,891574,0.93,11,0,63079,0.53
2021-05-16T00:00:00.000,1201904,0.5,621750,0.65,36227,0.35,11062,0.65,814177,0.96,14,0,49166,0.5
2021-05-17T00:00:00.000,2022584,0.35,1157960,0.51,52803,0.18,20779,0.71,810018,0.84,3990,0.23,98458,0.31
2021-05-18T00:00:00.000,2150049,0.38,1215676,0.53,54920,0.19,22367,0.76,838307,0.87,4321,0.25,100430,0.31
2021-05-19T00:00:00.000,2257549,0.39,1253578,0.55,56851,0.2,23784,0.81,915644,0.95,4367,0.25,104762,0.33
2021-05-20T00:00:00.000,2269471,0.4,1243965,0.55,57425,0.2,23659,0.8,931659,0.97,4441,0.26,106604,0.33
2021-05-21T00:00:00.000,2331876,0.41,1221591,0.54,67283,0.24,22520,0.77,965528,1,4264,0.25,110077,0.34
2021-05-22T00:00:00.000,1645268,0.51,839877,0.6,51249,0.34,13397,0.77,911148,0.95,1787,0.37,66293,0.56
2021-05-23T00:00:00.000,1268928,0.53,645466,0.67,40613,0.39,11765,0.69,885740,1.04,1358,0.39,58005,0.59
2021-05-24T00:00:00.000,2118877,0.37,1192453,0.52,55179,0.19,21563,0.73,869940,0.9,4252,0.24,105528,0.33
2021-05-25T00:00:00.000,2270945,0.4,1253998,0.55,58737,0.21,22854,0.78,902577,0.94,4683,0.27,110871,0.35
2021-05-26T00:00:00.000,2275882,0.4,1241052,0.55,59613,0.21,23594,0.8,921084,0.96,4429,0.25,114548,0.36
2021-05-27T00:00:00.000,2352019,0.41,1246269,0.55,62852,0.22,23450,0.8,970920,1.01,4619,0.27,117293,0.37
2021-05-28T00:00:00.000,2232599,0.39,1135369,0.5,66048,0.23,21520,0.73,931760,0.97,4047,0.23,112780,0.35
2021-05-29T00:00:00.000,1370135,0.43,648192,0.46,38894,0.26,11734,0.68,744860,0.78,1332,0.27,54774,0.46
2021-05-30T00:00:00.000,1065176,0.45,484864,0.5,30072,0.29,10028,0.59,664029,0.78,956,0.27,43418,0.45
2021-05-31T00:00:00.000,1389651,0.58,702801,0.73,43039,0.41,10380,0.35,756187,0.89,1651,0.47,102292,1.05
2021-06-01T00:00:00.000,2258831,0.4,1230127,0.57,94923,0.32,22308,0.76,907698,0.92,4705,0.29,114759,0.34
2021-06-02T00:00:00.000,2343745,0.42,1249102,0.58,90821,0.31,24325,0.83,910385,0.93,4772,0.29,112503,0.34
2021-06-03T00:00:00.000,2233917,0.4,1143159,0.53,84815,0.29,23026,0.79,895524,0.91,4419,0.27,102751,0.31
2021-06-04T00:00:00.000,2310032,0.41,1160335,0.54,88908,0.3,22743,0.78,930743,0.95,4308,0.27,104564,0.31
2021-06-05T00:00:00.000,1792204,0.56,874545,0.62,62687,0.4,14636,0.84,946758,0.96,,,72827,0.59
2021-06-06T00:00:00.000,1363344,0.52,654780,0.6,51469,0.47,12514,0.69,921829,1,,,61866,0.63
2021-06-07T00:00:00.000,2223265,0.4,1200737,0.56,89412,0.3,21511,0.73,897208,0.91,4348,0.27,112097,0.34
2021-06-08T00:00:00.000,2265591,0.4,1175335,0.55,87986,0.3,22948,0.78,878376,0.89,4561,0.28,108346,0.33
2021-06-09T00:00:00.000,2386026,0.43,1259005,0.59,90641,0.31,23868,0.81,908563,0.92,4586,0.28,107918,0.32
2021-06-10T00:00:00.000,2473818,0.44,1276901,0.59,91323,0.31,23498,0.8,951274,0.97,4801,0.3,113236,0.34
2021-06-11T00:00:00.000,2468258,0.44,1221484,0.57,94566,0.32,23324,0.8,968763,0.99,4371,0.27,118259,0.36
2021-06-12T00:00:00.000,1775538,0.55,849178,0.61,61468,0.39,14450,0.83,919318,0.93,,,68188,0.55
2021-06-13T00:00:00.000,1379959,0.53,647385,0.59,51712,0.47,12047,0.67,887098,0.96,,,59186,0.6
2021-06-14T00:00:00.000,2223186,0.4,1176722,0.55,91064,0.31,21568,0.74,869235,0.88,4205,0.26,115254,0.35
2021-06-15T00:00:00.000,2469785,0.44,1277203,0.59,96688,0.33,23460,0.8,917933,0.93,4925,0.3,117580,0.35
2021-06-16T00:00:00.000,2519444,0.45,1288040,0.6,94690,0.32,24788,0.85,945955,0.96,4745,0.29,119205,0.36
2021-06-17T00:00:00.000,2552497,0.46,1281552,0.6,98435,0.33,23292,0.8,973485,0.99,4989,0.31,121580,0.37
2021-06-18T00:00:00.000,2572013,0.98,1235675,1.14,104304,0.96,22491,0.77,989296,1.07,4549,1.17,122848,1.25
2021-06-19T00:00:00.000,1784312,0.55,841519,0.6,66134,0.42,13949,0.8,952944,0.97,,,76508,0.62
2021-06-20T00:00:00.000,1389352,0.53,652557,0.6,60876,0.56,13189,0.73,951631,1.03,,,76969,0.78
2021-06-21T00:00:00.000,2264368,0.4,1191844,0.55,95740,0.32,20512,0.7,926300,0.94,4601,0.28,123918,0.37
2021-06-22T00:00:00.000,2354873,0.42,1172110,0.55,97637,0.33,22293,0.76,896868,0.91,4648,0.29,116165,0.35
2021-06-23T00:00:00.000,2547416,0.45,1264095,0.59,101864,0.34,24223,0.83,946870,0.96,5027,0.31,121867,0.37
2021-06-24T00:00:00.000,2552639,0.46,1248843,0.58,100509,0.34,22842,0.78,978351,0.99,5045,0.31,121542,0.37
2021-06-25T00:00:00.000,2582713,0.46,1214123,0.56,100537,0.34,22400,0.76,988675,1.01,4712,0.29,126722,0.38
2021-06-26T00:00:00.000,1854179,0.58,841585,0.6,66739,0.42,13520,0.78,950086,0.97,1682,0.33,76560,0.62
2021-06-27T00:00:00.000,1559967,0.6,656004,0.6,62411,0.57,11883,0.66,900039,0.97,1436,0.37,75058,0.76
2021-06-28T00:00:00.000,2252362,0.4,1152019,0.54,101482,0.34,20503,0.7,924740,0.94,4564,0.28,122263,0.37
2021-06-29T00:00:00.000,2343739,0.42,1169268,0.54,97829,0.33,21612,0.74,930011,0.95,4717,0.29,119355,0.36
2021-06-30T00:00:00.000,2346388,0.42,1139886,0.53,99455,0.34,23001,0.79,945822,0.96,4476,0.28,119358,0.36
2021-07-01T00:00:00.000,2292461,0.43,1104516,0.53,90018,0.32,22011,0.78,933638,0.97,4598,0.33,114363,0.36
2021-07-02T00:00:00.000,2296044,0.43,1121116,0.54,94252,0.33,21489,0.76,920188,0.96,4258,0.31,116542,0.37
2021-07-03T00:00:00.000,1541988,0.55,738089,0.55,57381,0.37,12676,0.8,777262,0.84,1768,0.35,63827,0.5
2021-07-04T00:00:00.000,1468510,0.63,615001,0.56,63948,0.6,12816,0.78,773629,0.87,1815,0.51,70165,0.67
2021-07-05T00:00:00.000,1495709,0.64,770321,0.7,59711,0.56,10303,0.36,838087,0.95,2005,0.56,78370,0.75
2021-07-06T00:00:00.000,2302002,0.44,1181416,0.57,100494,0.35,22648,0.8,903777,0.94,4690,0.34,127893,0.4
2021-07-07T00:00:00.000,2437064,0.46,1234617,0.6,99137,0.35,23637,0.83,926634,0.96,5028,0.36,122603,0.39
2021-07-08T00:00:00.000,2364250,0.45,1164513,0.56,93197,0.33,22941,0.81,897858,0.93,4785,0.35,116274,0.37
2021-07-09T00:00:00.000,2318387,0.44,1115969,0.54,88347,0.31,20632,0.73,888932,0.92,4325,0.31,109420,0.35
2021-07-10T00:00:00.000,1781717,0.63,855908,0.63,64429,0.42,14518,0.91,925950,1,2204,0.43,72964,0.57
2021-07-11T00:00:00.000,1365854,0.58,635511,0.58,53178,0.5,11725,0.71,830775,0.94,1549,0.43,62559,0.6
2021-07-12T00:00:00.000,2245412,0.43,1171521,0.57,99023,0.35,20623,0.73,866231,0.9,4563,0.33,120503,0.38
2021-07-13T00:00:00.000,2457526,0.47,1239045,0.6,105314,0.37,22286,0.79,895705,0.93,5117,0.37,123373,0.39
2021-07-14T00:00:00.000,2517615,0.48,1260044,0.61,101843,0.36,23662,0.83,919213,0.96,5018,0.36,120455,0.38
2021-07-15T00:00:00.000,2581582,0.49,1275846,0.62,105171,0.37,23772,0.84,971048,1.01,5209,0.38,125587,0.4
2021-07-16T00:00:00.000,2536569,0.48,1219118,0.59,104331,0.37,21730,0.77,983846,1.02,4626,0.34,123465,0.39
2021-07-17T00:00:00.000,1717480,0.61,795347,0.59,64513,0.42,13228,0.83,897001,0.97,,,73001,0.57
2021-07-18T00:00:00.000,1405344,0.6,640618,0.58,56174,0.53,11313,0.68,838604,0.95,,,67362,0.64
2021-07-19T00:00:00.000,2327756,0.44,1208792,0.58,103403,0.37,20276,0.72,897298,0.93,4717,0.34,126653,0.4
2021-07-20T00:00:00.000,2462002,0.47,1217802,0.59,107009,0.38,22213,0.78,924495,0.96,5015,0.36,125809,0.4
2021-07-21T00:00:00.000,2504568,0.47,1225595,0.59,104862,0.37,22865,0.81,914902,0.95,4934,0.36,121530,0.38
2021-07-22T00:00:00.000,2582151,0.49,1279778,0.62,102275,0.36,23122,0.82,963493,1,5187,0.38,127275,0.4
2021-07-23T00:00:00.000,2552330,0.48,1219255,0.59,101070,0.36,22314,0.79,985198,1.02,4713,0.34,130474,0.41
2021-07-24T00:00:00.000,1852402,0.66,856250,0.63,68579,0.44,14042,0.88,950568,1.03,,,84852,0.66
2021-07-25T00:00:00.000,1364830,0.58,625645,0.57,53090,0.5,11419,0.69,864361,0.98,,,66417,0.63
2021-07-26T00:00:00.000,2318455,0.44,1219135,0.59,101260,0.36,19910,0.7,907205,0.94,4714,0.34,129875,0.41
2021-07-27T00:00:00.000,2487947,0.47,1267804,0.61,102950,0.36,22609,0.8,918908,0.96,5132,0.37,128262,0.41
2021-07-28T00:00:00.000,2534756,0.48,1276296,0.62,99976,0.35,23145,0.82,932094,0.97,5004,0.36,126767,0.4
2021-07-29T00:00:00.000,2428764,0.46,1186642,0.57,94716,0.33,22164,0.78,918380,0.96,4743,0.34,120318,0.38
2021-07-30T00:00:00.000,2557677,0.48,1235623,0.6,103531,0.37,22127,0.78,988596,1.03,4812,0.35,131905,0.42
2021-07-31T00:00:00.000,1841007,0.65,857333,0.64,67122,0.43,13932,0.88,953445,1.03,,,85371,0.67
2021-08-01T00:00:00.000,1351294,0.57,629963,0.57,51978,0.5,11627,0.65,869092,0.94,,,66030,0.63
2021-08-02T00:00:00.000,2333923,0.45,1208484,0.6,102349,0.38,19824,0.71,903514,0.93,4799,0.36,126151,0.4
2021-08-03T00:00:00.000,2483802,0.48,1262043,0.63,103250,0.38,22828,0.82,904753,0.93,5262,0.39,123949,0.4
2021-08-04T00:00:00.000,2529002,0.49,1257876,0.62,99332,0.36,23611,0.85,921068,0.95,5016,0.37,123700,0.4
2021-08-05T00:00:00.000,2529190,0.49,1259332,0.62,98290,0.36,22610,0.81,956306,0.98,5097,0.38,119999,0.38
2021-08-06T00:00:00.000,2519444,0.49,1222343,0.61,101218,0.37,22179,0.79,979833,1.01,4500,0.34,123238,0.39
2021-08-07T00:00:00.000,1780458,0.61,836715,0.61,67268,0.44,14108,0.85,923751,0.96,,,76835,0.58
2021-08-08T00:00:00.000,1333885,0.56,598574,0.54,54265,0.52,11934,0.66,843489,0.92,,,61066,0.59
2021-08-09T00:00:00.000,2289434,0.45,1183050,0.59,95599,0.35,20540,0.74,891525,0.92,4845,0.36,109865,0.35
2021-08-10T00:00:00.000,2442194,0.48,1245670,0.62,95330,0.35,23079,0.83,905508,0.93,5037,0.38,122544,0.39
2021-08-11T00:00:00.000,2475949,0.48,1246306,0.62,94737,0.35,23338,0.84,931264,0.96,4928,0.37,119708,0.38
2021-08-12T00:00:00.000,2448589,0.48,1223666,0.61,90818,0.33,22427,0.8,965578,0.99,4764,0.36,119717,0.38
2021-08-13T00:00:00.000,2430102,0.47,1189426,0.59,91861,0.34,21336,0.76,973883,1,4522,0.34,123849,0.4
2021-08-14T00:00:00.000,1718222,0.58,811826,0.59,57650,0.38,13157,0.79,904780,0.94,,,75664,0.57
2021-08-15T00:00:00.000,1430620,0.6,661705,0.6,54362,0.52,12395,0.69,918288,1,,,72983,0.7
2021-08-16T00:00:00.000,2287627,0.45,1170216,0.58,100258,0.37,20087,0.72,910779,0.94,4769,0.36,123942,0.4
2021-08-17T00:00:00.000,2427611,0.47,1209633,0.6,103616,0.38,22245,0.8,909180,0.94,5081,0.38,120737,0.39
2021-08-18T00:00:00.000,2445638,0.48,1210760,0.6,97853,0.36,22715,0.81,917872,0.94,4878,0.36,117216,0.37
2021-08-19T00:00:00.000,2439624,0.47,1194375,0.59,93036,0.34,21838,0.78,939085,0.97,4871,0.36,117409,0.38
2021-08-20T00:00:00.000,2456334,0.48,1183308,0.59,99533,0.36,21451,0.77,969814,1,4590,0.34,124627,0.4
2021-08-21T00:00:00.000,1715030,0.58,822340,0.6,61997,0.41,13046,0.78,941331,0.98,1409,0.3,72843,0.55
2021-08-22T00:00:00.000,745240,0.31,369246,0.33,16121,0.16,7979,0.44,489334,0.53,560,0.16,27528,0.26
2021-08-23T00:00:00.000,2052669,0.4,1032792,0.51,84223,0.31,18809,0.67,821654,0.85,4062,0.3,110003,0.35
2021-08-24T00:00:00.000,2462365,0.48,1234884,0.61,98325,0.36,22679,0.81,942935,0.97,5041,0.38,130591,0.42
2021-08-25T00:00:00.000,2498255,0.49,1236342,0.61,93307,0.34,23351,0.84,957036,0.98,5165,0.39,127392,0.41
2021-08-26T00:00:00.000,2480137,0.48,1222996,0.61,91039,0.33,22068,0.79,950534,0.98,4995,0.37,122067,0.39
2021-08-27T00:00:00.000,2388210,0.46,1147249,0.57,90532,0.33,21211,0.76,973335,1,4392,0.33,119665,0.38
2021-08-28T00:00:00.000,1659434,0.56,776489,0.56,56208,0.37,12760,0.77,890293,0.93,1661,0.35,68988,0.52
2021-08-29T00:00:00.000,1398566,0.59,630281,0.57,54068,0.52,11558,0.64,890505,0.97,2076,0.58,68832,0.66
2021-08-30T00:00:00.000,2321000,0.45,1182908,0.59,97093,0.36,19224,0.69,911105,0.94,4695,0.35,131574,0.42
2021-08-31T00:00:00.000,2532584,0.49,1246463,0.62,99949,0.37,22724,0.81,936181,0.96,5390,0.4,133641,0.43
2021-09-01T00:00:00.000,2294448,0.4,1086148,0.47,90598,0.31,20878,0.7,811053,0.85,4551,0.27,118437,0.36
2021-09-02T00:00:00.000,1661558,0.29,1188941,0.51,37898,0.13,21179,0.71,851145,0.89,2620,0.15,105647,0.32
2021-09-03T00:00:00.000,2390392,0.41,1221668,0.53,97937,0.34,22585,0.76,1014806,1.07,4450,0.26,139807,0.43
2021-09-04T00:00:00.000,1777639,0.55,834456,0.59,57137,0.37,13382,0.78,927358,0.97,2104,0.51,84764,0.72
2021-09-05T00:00:00.000,1415352,0.56,618622,0.56,45169,0.43,11931,0.69,832200,0.94,1541,0.53,71004,0.72
2021-09-06T00:00:00.000,1521388,0.6,733947,0.67,51338,0.49,10077,0.34,812884,0.92,1966,0.67,77906,0.79
2021-09-07T00:00:00.000,2233674,0.39,1102372,0.47,113742,0.39,21143,0.71,902400,0.95,4795,0.28,137623,0.42
2021-09-08T00:00:00.000,2529619,0.44,1192895,0.51,110925,0.38,22354,0.75,896020,0.94,5228,0.31,135722,0.41
2021-09-09T00:00:00.000,2702713,0.47,1249341,0.54,111708,0.39,23653,0.8,911040,0.96,5378,0.31,139547,0.43
2021-09-10T00:00:00.000,2840443,0.49,1322430,0.57,113495,0.39,23037,0.78,995486,1.05,5377,0.31,150895,0.46
2021-09-11T00:00:00.000,1983091,0.62,870791,0.62,65329,0.43,13070,0.76,917704,0.96,2182,0.53,82235,0.69
2021-09-12T00:00:00.000,1589976,0.62,694561,0.63,58979,0.56,12239,0.71,899864,1.02,1679,0.57,77028,0.78
2021-09-13T00:00:00.000,2852796,0.49,1441516,0.62,122504,0.42,21898,0.74,914827,0.96,6133,0.36,147829,0.45
2021-09-14T00:00:00.000,3011275,0.52,1511145,0.65,120532,0.42,23132,0.78,908024,0.95,6672,0.39,144904,0.44
2021-09-15T00:00:00.000,2987334,0.52,1503627,0.65,116413,0.4,23966,0.81,904733,0.95,6410,0.38,139927,0.43
2021-09-16T00:00:00.000,2534545,0.44,1210069,0.52,107680,0.37,20826,0.7,864413,0.91,5308,0.31,127995,0.39
2021-09-17T00:00:00.000,3028545,0.52,1456201,0.63,119349,0.41,23282,0.78,982085,1.03,6131,0.36,142120,0.43
2021-09-18T00:00:00.000,2014848,0.63,871175,0.62,76288,0.5,14054,0.82,949178,0.99,2582,0.62,77267,0.65
2021-09-19T00:00:00.000,1596823,0.63,674024,0.61,64139,0.61,12612,0.73,914623,1.03,1897,0.65,69397,0.7
2021-09-20T00:00:00.000,2883211,0.5,1481676,0.64,122101,0.42,21889,0.74,895109,0.94,6548,0.38,148068,0.45
2021-09-21T00:00:00.000,3018312,0.52,1505803,0.65,123923,0.43,22399,0.75,860050,0.9,6998,0.41,142672,0.44
2021-09-22T00:00:00.000,3021113,0.52,1506211,0.65,120056,0.42,23157,0.78,872883,0.92,6812,0.4,139853,0.43
2021-09-23T00:00:00.000,3016106,0.52,1483075,0.64,115473,0.4,23031,0.78,915198,0.96,6724,0.39,140127,0.43
2021-09-24T00:00:00.000,3121747,0.54,1469705,0.63,116730,0.4,21941,0.74,986694,1.04,6294,0.37,142827,0.44
2021-09-25T00:00:00.000,2129492,0.66,872490,0.62,81282,0.53,13909,0.81,953628,1,2719,0.66,88460,0.75
2021-09-26T00:00:00.000,1614677,0.63,657257,0.6,64937,0.62,12034,0.7,895286,1.01,2238,0.77,80069,0.81
2021-09-27T00:00:00.000,2873368,0.5,1489441,0.64,121534,0.42,21209,0.71,881116,0.93,6715,0.39,146154,0.45
2021-09-28T00:00:00.000,2927715,0.51,1457421,0.63,118253,0.41,21727,0.73,831192,0.87,6827,0.4,141188,0.43
2021-09-29T00:00:00.000,3063720,0.53,1513184,0.65,120032,0.42,23323,0.79,886785,0.93,6789,0.4,137483,0.42
2021-09-30T00:00:00.000,3146861,0.55,1516081,0.65,121842,0.42,23555,0.79,953501,1,7104,0.42,144838,0.44
2021-10-01T00:00:00.000,3162881,0.55,1492942,0.66,116182,0.4,23098,0.78,985786,1.06,6325,0.35,140003,0.45
2021-10-02T00:00:00.000,2063660,0.62,883902,0.63,80946,0.53,14145,0.8,923455,0.98,2562,0.56,86563,0.76
2021-10-03T00:00:00.000,1575738,0.64,673253,0.67,66759,0.63,12936,0.7,887540,1.05,1904,0.5,74851,0.82
2021-10-04T00:00:00.000,2864349,0.5,1419155,0.63,121256,0.42,21794,0.73,871945,0.94,6591,0.37,152598,0.49
2021-10-05T00:00:00.000,3091160,0.54,1499767,0.67,124670,0.43,23644,0.79,887129,0.96,7027,0.39,150226,0.48
2021-10-06T00:00:00.000,3140986,0.55,1532668,0.68,123098,0.42,24677,0.83,913993,0.98,6972,0.39,149640,0.48
2021-10-07T00:00:00.000,3190747,0.56,1523168,0.68,121407,0.42,24571,0.83,951212,1.02,7298,0.41,150072,0.48
2021-10-08T00:00:00.000,3168473,0.55,1473912,0.65,123609,0.43,23356,0.78,1001210,1.08,6660,0.37,153755,0.49
2021-10-09T00:00:00.000,2052699,0.62,856308,0.62,81970,0.54,13634,0.77,919384,0.97,47,0.01,84631,0.75
2021-10-10T00:00:00.000,1499385,0.61,601821,0.6,59050,0.56,11794,0.64,806025,0.95,166,0.04,65636,0.72
2021-10-11T00:00:00.000,2263615,0.39,1045865,0.46,114458,0.39,16917,0.57,878443,0.95,3883,0.22,131714,0.42
2021-10-12T00:00:00.000,3102879,0.54,1514608,0.67,128195,0.44,23848,0.8,910639,0.98,7292,0.41,154602,0.49
2021-10-13T00:00:00.000,3157457,0.55,1511356,0.67,124791,0.43,24396,0.82,907632,0.98,7198,0.4,151319,0.48
2021-10-14T00:00:00.000,3240686,0.56,1527543,0.68,126816,0.44,24144,0.81,952876,1.03,7386,0.41,154572,0.49
2021-10-15T00:00:00.000,3227068,0.56,1491099,0.66,124655,0.43,23251,0.78,990940,1.07,6786,0.38,150932,0.48
2021-10-16T00:00:00.000,2042027,0.61,856990,0.62,74914,0.49,13307,0.75,896392,0.95,2369,0.52,83415,0.74
2021-10-17T00:00:00.000,1629991,0.66,663944,0.66,69730,0.66,12564,0.68,891527,1.06,1853,0.49,74826,0.82
2021-10-18T00:00:00.000,2982883,0.52,1461843,0.65,127382,0.44,21454,0.72,889996,0.96,6810,0.38,153681,0.49
2021-10-19T00:00:00.000,3178208,0.55,1510722,0.67,129994,0.45,23403,0.79,899389,0.97,7250,0.41,153382,0.49
2021-10-20T00:00:00.000,3234327,0.56,1525608,0.68,131127,0.45,24474,0.82,916246,0.99,7148,0.4,155242,0.49
2021-10-21T00:00:00.000,3267697,0.57,1476434,0.65,127259,0.44,24007,0.81,948652,1.02,7498,0.42,149850,0.48
2021-10-22T00:00:00.000,3225816,0.56,1471199,0.65,126555,0.44,22843,0.77,986548,1.06,6297,0.35,145810,0.46
2021-10-23T00:00:00.000,2077488,0.62,847596,0.61,82865,0.54,13556,0.77,914737,0.97,2243,0.49,74720,0.66
2021-10-24T00:00:00.000,1599927,0.65,659283,0.66,68154,0.65,12314,0.67,883371,1.05,1908,0.51,69611,0.76
2021-10-25T00:00:00.000,2994936,0.52,1461023,0.65,125755,0.43,21724,0.73,883887,0.95,7026,0.39,158330,0.5
2021-10-26T00:00:00.000,2702635,0.47,1233660,0.55,104517,0.36,21220,0.71,738636,0.8,5278,0.3,130109,0.41
2021-10-27T00:00:00.000,3300580,0.57,1503535,0.67,129881,0.45,24144,0.81,914494,0.99,7054,0.4,155865,0.5
2021-10-28T00:00:00.000,3365971,0.59,1515489,0.67,132171,0.45,24814,0.83,959835,1.03,7605,0.43,159574,0.51
2021-10-29T00:00:00.000,3251779,0.57,1426938,0.63,122632,0.42,22477,0.75,963442,1.04,6597,0.37,153317,0.49
2021-10-30T00:00:00.000,2044310,0.61,819620,0.59,69281,0.45,12642,0.72,854656,0.9,2177,0.48,76471,0.67
2021-10-31T00:00:00.000,1746769,0.71,656203,0.66,66301,0.63,12233,0.67,824978,0.98,1910,0.51,68674,0.75
2021-11-01T00:00:00.000,3034306,0.54,1448304,0.66,131251,0.46,21387,0.69,898451,0.95,6783,0.4,158356,0.48
2021-11-02T00:00:00.000,2848222,0.51,1258180,0.57,129297,0.45,22016,0.71,853432,0.9,5679,0.33,147832,0.45
2021-11-03T00:00:00.000,3293732,0.58,1507287,0.69,130955,0.46,23349,0.75,901230,0.96,7371,0.43,154203,0.47
2021-11-04T00:00:00.000,3284315,0.58,1486942,0.68,126533,0.44,24009,0.77,931012,0.99,7210,0.42,151353,0.46
2021-11-05T00:00:00.000,3293438,0.58,1457014,0.67,121824,0.43,23009,0.74,966007,1.02,6769,0.4,150227,0.46
2021-11-06T00:00:00.000,2195864,0.69,864499,0.66,80784,0.53,13672,0.81,910587,1,2410,0.7,84943,0.74
2021-11-07T00:00:00.000,1888985,0.75,614513,0.62,72175,0.69,10647,0.57,780686,0.95,2978,0.97,81181,0.86
2021-11-08T00:00:00.000,3065533,0.54,1461178,0.67,131127,0.46,22136,0.71,889544,0.94,6921,0.41,159723,0.49
2021-11-09T00:00:00.000,3279457,0.58,1518264,0.69,134070,0.47,24504,0.78,898518,0.95,7677,0.45,157181,0.48
2021-11-10T00:00:00.000,3351992,0.59,1514453,0.69,134401,0.47,24608,0.79,926005,0.98,7445,0.44,159254,0.48
2021-11-11T00:00:00.000,2922235,1.16,1198235,1.2,122940,1.18,19846,0.64,895643,1.09,5493,1.79,143386,1.52
2021-11-12T00:00:00.000,3158682,0.56,1350608,0.62,117650,0.41,21598,0.69,919941,0.98,6082,0.36,141671,0.43
2021-11-13T00:00:00.000,2169863,0.69,815114,0.62,74296,0.49,13124,0.77,869112,0.96,2286,0.66,80829,0.7
2021-11-14T00:00:00.000,1703136,0.68,657129,0.66,62856,0.6,12460,0.66,858311,1.04,1772,0.58,72488,0.77
2021-11-15T00:00:00.000,3110969,0.55,1437414,0.66,132234,0.46,22208,0.71,890524,0.94,6792,0.4,160952,0.49
2021-11-16T00:00:00.000,3340844,0.59,1492110,0.68,137235,0.48,23694,0.76,902386,0.96,7472,0.44,161362,0.49
2021-11-17T00:00:00.000,3369069,0.6,1501740,0.69,131113,0.46,24396,0.78,915266,0.97,7453,0.44,158372,0.48
2021-11-18T00:00:00.000,3412249,0.61,1505488,0.69,132632,0.46,24071,0.77,959226,1.02,7511,0.44,157433,0.48
2021-11-19T00:00:00.000,3316999,0.59,1429787,0.65,127093,0.44,22662,0.73,987149,1.05,6842,0.4,151795,0.46
2021-11-20T00:00:00.000,2135731,0.68,861772,0.65,82895,0.55,13195,0.78,915131,1.01,2367,0.68,94412,0.82
2021-11-21T00:00:00.000,1674206,0.66,674551,0.68,66860,0.64,12774,0.68,841901,1.02,1827,0.6,80467,0.85
2021-11-22T00:00:00.000,3130363,0.56,1418226,0.65,127777,0.45,21441,0.69,901942,0.96,6896,0.41,156874,0.48
2021-11-23T00:00:00.000,3286591,0.58,1424890,0.65,136563,0.48,22574,0.72,989345,1.05,7194,0.42,162241,0.49
